[2026-03-10 14:37:37] 192.168.1.50 -> 1.1.1.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 14:38:26] 1.1.1.1 -> 192.168.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5009
[2026-03-10 14:40:45] 192.168.0.1 -> 10.0.0.5 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:02:32] 192.168.1.2 -> 1.1.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:03:09] 192.168.1.200 -> 172.16.0.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5040
[2026-03-10 15:03:53] 192.168.1.50 -> 10.0.0.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5058
[2026-03-10 15:03:55] 192.168.1.2 -> 192.168.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:04:07] 192.168.1.100 -> 192.168.1.100 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:04:21] 192.168.1.1 -> 172.16.0.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5060
[2026-03-10 15:04:22] 192.168.1.2 -> 10.0.0.5 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:04:40] 192.168.1.100 -> 1.1.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:04:42] 1.1.1.1 -> 10.0.0.1 | Protocol: UDP | Result: Attack | Confidence: 0.5040
[2026-03-10 15:04:56] 10.0.0.1 -> 10.0.0.5 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:05:01] 192.168.0.1 -> 1.1.1.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5060
[2026-03-10 15:05:08] 10.0.0.1 -> 10.0.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:05:30] 192.168.1.50 -> 10.0.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:05:38] 192.168.1.10 -> 192.168.1.200 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:05:41] 8.8.8.8 -> 192.168.1.200 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:05:52] 10.0.0.5 -> 10.0.0.5 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:05:55] 192.168.1.1 -> 10.0.0.5 | Protocol: ICMP | Result: Attack | Confidence: 0.5060
[2026-03-10 15:05:58] 192.168.0.1 -> 10.0.0.5 | Protocol: ICMP | Result: Attack | Confidence: 0.5300
[2026-03-10 15:06:20] 172.16.0.1 -> 192.168.1.50 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:06:24] 192.168.1.2 -> 192.168.1.10 | Protocol: ICMP | Result: Attack | Confidence: 0.5060
[2026-03-10 15:06:25] 192.168.1.2 -> 8.8.8.8 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:06:28] 192.168.0.1 -> 192.168.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:06:31] 8.8.8.8 -> 192.168.1.50 | Protocol: UDP | Result: Attack | Confidence: 0.5240
[2026-03-10 15:06:40] 192.168.1.100 -> 192.168.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:06:47] 192.168.1.2 -> 192.168.1.200 | Protocol: ICMP | Result: Attack | Confidence: 0.5060
[2026-03-10 15:06:50] 10.0.0.1 -> 8.8.8.8 | Protocol: ICMP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:06:59] 192.168.0.1 -> 192.168.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:07:01] 192.168.1.2 -> 1.1.1.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5300
[2026-03-10 15:07:02] 10.0.0.5 -> 192.168.0.1 | Protocol: UDP | Result: Attack | Confidence: 0.5140
[2026-03-10 15:07:06] 192.168.1.10 -> 8.8.8.8 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:07:21] 192.168.1.100 -> 10.0.0.5 | Protocol: UDP | Result: Attack | Confidence: 0.5040
[2026-03-10 15:07:27] 192.168.1.10 -> 192.168.1.100 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:07:37] 192.168.0.1 -> 192.168.1.50 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:07:40] 192.168.1.2 -> 192.168.1.100 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:07:41] 192.168.0.1 -> 192.168.1.200 | Protocol: UDP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:07:43] 192.168.0.1 -> 192.168.0.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:07:46] 172.16.0.1 -> 192.168.1.50 | Protocol: TCP | Result: Attack | Confidence: 0.5300
[2026-03-10 15:07:47] 8.8.8.8 -> 192.168.1.50 | Protocol: ICMP | Result: Attack | Confidence: 0.5058
[2026-03-10 15:07:48] 192.168.1.10 -> 192.168.1.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:07:57] 192.168.1.10 -> 8.8.8.8 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:08:09] 192.168.1.1 -> 192.168.1.200 | Protocol: TCP | Result: Attack | Confidence: 0.5500
[2026-03-10 15:08:12] 8.8.8.8 -> 192.168.1.50 | Protocol: UDP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:08:22] 192.168.1.1 -> 1.1.1.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:08:30] 192.168.1.200 -> 8.8.8.8 | Protocol: TCP | Result: Attack | Confidence: 0.5258
[2026-03-10 15:08:36] 192.168.1.50 -> 1.1.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5300
[2026-03-10 15:08:38] 10.0.0.5 -> 192.168.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:08:44] 10.0.0.5 -> 192.168.1.2 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:08:55] 192.168.0.1 -> 8.8.8.8 | Protocol: UDP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:08:56] 172.16.0.1 -> 10.0.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:09:03] 192.168.1.50 -> 192.168.1.100 | Protocol: TCP | Result: Attack | Confidence: 0.5240
[2026-03-10 15:09:05] 192.168.1.200 -> 192.168.1.100 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:09:20] 192.168.1.50 -> 192.168.1.50 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:09:27] 1.1.1.1 -> 172.16.0.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:09:31] 192.168.1.100 -> 192.168.1.10 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:09:32] 192.168.1.200 -> 192.168.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:09:34] 192.168.0.1 -> 192.168.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5140
[2026-03-10 15:09:35] 192.168.1.50 -> 10.0.0.5 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:09:37] 172.16.0.1 -> 192.168.1.50 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:09:38] 8.8.8.8 -> 10.0.0.5 | Protocol: UDP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:09:42] 192.168.1.10 -> 192.168.1.2 | Protocol: UDP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:09:42] 1.1.1.1 -> 192.168.1.100 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:09:45] 192.168.1.1 -> 192.168.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5240
[2026-03-10 15:09:47] 192.168.1.2 -> 10.0.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5040
[2026-03-10 15:09:48] 10.0.0.1 -> 10.0.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5040
[2026-03-10 15:09:56] 1.1.1.1 -> 192.168.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:10:03] 10.0.0.1 -> 10.0.0.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:10:09] 192.168.1.200 -> 192.168.1.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:10:15] 192.168.1.2 -> 192.168.1.2 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:10:20] 10.0.0.1 -> 192.168.1.10 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:10:25] 172.16.0.1 -> 172.16.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:10:48] 192.168.1.200 -> 1.1.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:10:50] 172.16.0.1 -> 172.16.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:10:55] 192.168.1.200 -> 192.168.1.100 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:10:58] 192.168.1.2 -> 10.0.0.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5060
[2026-03-10 15:11:06] 10.0.0.5 -> 10.0.0.5 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:11:06] 192.168.0.1 -> 8.8.8.8 | Protocol: TCP | Result: Attack | Confidence: 0.5300
[2026-03-10 15:11:10] 192.168.0.1 -> 192.168.1.200 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:11:12] 172.16.0.1 -> 192.168.1.1 | Protocol: UDP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:11:14] 10.0.0.5 -> 192.168.0.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:11:17] 192.168.1.100 -> 192.168.1.200 | Protocol: TCP | Result: Attack | Confidence: 0.5500
[2026-03-10 15:11:19] 192.168.1.200 -> 1.1.1.1 | Protocol: UDP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:11:26] 1.1.1.1 -> 192.168.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5140
[2026-03-10 15:11:30] 192.168.1.100 -> 192.168.0.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5060
